algo,nb_nodes,time,ans
glouton,316,54.28624,117.0
glouton,317,54.50004,116.1
glouton,318,57.9841,116.7
glouton,319,55.554359999999996,117.5
glouton,320,60.46334,116.9
glouton,321,56.075019999999995,117.2
glouton,322,54.32908,117.6
glouton,323,57.1048,118.5
glouton,324,59.37933,119.0
glouton,325,56.91977000000001,118.8
glouton,326,54.72842000000001,119.1
glouton,327,54.030359999999995,118.2
glouton,328,56.579359999999994,120.8
glouton,329,58.03777,120.2
glouton,330,61.031600000000005,120.4
glouton,331,57.81644,119.7
glouton,332,57.27275999999999,121.2
glouton,333,62.42087,120.3
glouton,334,59.38661,121.2
glouton,335,62.15176,122.5
glouton,336,65.18548000000001,122.6
glouton,337,63.19221,122.7
glouton,338,65.1798,123.4
glouton,339,62.1718,122.9
glouton,340,64.84725,124.4
glouton,341,64.39961000000001,123.4
glouton,342,62.10868000000001,124.3
glouton,343,63.03831,123.2
glouton,344,61.39743,125.1
glouton,345,63.05774,124.0
glouton,346,67.72743,125.0
glouton,347,70.35909000000001,126.6
glouton,348,68.6237,125.6
glouton,349,67.33323,126.9
glouton,350,67.85691,126.2
glouton,351,69.92451,126.6
glouton,352,69.15566,126.6
glouton,353,76.67071,127.1
glouton,354,71.50163,126.8
glouton,355,69.53347,128.4
glouton,356,69.92193,129.5
glouton,357,70.74239,128.0
glouton,358,71.1609,129.3
glouton,359,72.74942,128.6
glouton,360,72.7326,128.9
glouton,361,76.92012,129.5
glouton,362,72.47123,130.5
glouton,363,68.65145,130.6
glouton,364,73.22578999999999,130.7
glouton,365,75.7806,132.1
glouton,366,73.45486,131.5
glouton,367,72.67957,131.1
glouton,368,71.66201,132.0
glouton,369,72.9328,133.3
glouton,370,72.64205,133.1
glouton,371,73.66087999999999,133.7
glouton,372,79.0932,134.6
glouton,373,74.83962,132.9
glouton,374,80.91618,134.7
glouton,375,83.79307,134.9
glouton,376,78.41663,135.0
glouton,377,79.20022,135.3
glouton,378,79.21973,135.1
glouton,379,81.14854,135.1
glouton,380,83.37782999999999,136.5
glouton,381,83.27826999999999,136.2
glouton,382,78.55748,136.9
glouton,383,82.93744,135.2
glouton,384,81.46723,137.9
glouton,385,85.76821,137.3
glouton,386,82.60302,138.6
glouton,387,86.75358,139.0
glouton,388,84.43987999999999,137.7
glouton,389,88.79323000000001,137.9
glouton,390,89.61519000000001,138.9
glouton,391,81.71512,139.6
glouton,392,83.73015000000001,140.1
glouton,393,85.86028999999999,140.4
glouton,394,92.37574,139.8
glouton,395,85.85386,139.3
glouton,396,87.14577,140.8
glouton,397,88.20147,141.1
glouton,398,92.51562,140.0
glouton,399,89.74547,142.5
glouton,400,87.51613,140.4
glouton,401,88.68072,139.5
glouton,402,94.22783,141.4
glouton,403,95.91426,142.5
glouton,404,93.42584000000001,143.3
glouton,405,90.02449,142.3
glouton,406,86.76538000000001,143.4
glouton,407,89.99509,144.4
glouton,408,94.88367,144.9
glouton,409,93.92512,144.7
glouton,410,93.83764,145.7
glouton,411,90.74694,144.5
glouton,412,91.81441,145.1
glouton,413,98.09938,145.7
glouton,414,99.49145999999999,146.4
glouton,415,102.57998,145.4
glouton,416,102.64088999999998,146.2
glouton,417,98.0719,147.2
glouton,418,98.59218,147.5
glouton,419,100.89841,147.9
glouton,420,95.46842000000001,149.4
glouton,421,100.54992999999999,147.8
glouton,422,100.34571,148.0
glouton,423,102.80498,148.7
glouton,424,102.29624,150.0
glouton,425,98.35751,148.9
glouton,426,109.85903,149.8
glouton,427,112.44243999999999,150.1
glouton,428,105.97121999999999,150.1
glouton,429,139.23499999999999,151.6
glouton,430,113.99555000000001,151.2
glouton,431,110.59879000000001,151.0
glouton,432,118.89269999999999,150.3
glouton,433,105.4837,152.0
glouton,434,106.5547,152.7
glouton,435,107.1106,151.6
glouton,436,108.25450000000001,152.0
glouton,437,113.13798,153.0
glouton,438,108.80320999999999,154.3
glouton,439,126.2172,154.6
glouton,440,132.59269999999998,152.8
glouton,441,123.4835,154.5
glouton,442,121.98479999999999,154.2
glouton,443,145.7339,153.5
glouton,444,121.07839999999999,154.3
glouton,445,126.28509999999999,155.4
glouton,446,128.1685,156.2
glouton,447,121.26579999999998,155.6
glouton,448,124.8086,156.0
glouton,449,134.02339999999998,156.8
glouton,450,137.5733,158.1
glouton,451,134.9285,157.0
glouton,452,121.69300000000001,155.4
glouton,453,142.4153,157.7
glouton,454,122.1946,158.2
glouton,455,118.54729999999999,158.6
glouton,456,128.9531,157.2
glouton,457,133.03910000000002,158.4
glouton,458,131.0099,159.8
glouton,459,122.66130000000001,159.5
glouton,460,139.4643,160.9
glouton,461,129.8442,160.7
glouton,462,145.2624,160.6
glouton,463,136.6963,161.6
glouton,464,136.7693,160.5
glouton,465,127.003,162.6
glouton,466,122.30199999999999,161.2
glouton,467,126.1781,163.2
glouton,468,151.7132,162.6
glouton,469,151.5068,163.2
glouton,470,138.7542,162.9
glouton,471,126.16130000000001,162.7
glouton,472,126.74159999999999,162.0
glouton,473,129.7022,163.1
glouton,474,148.334,164.3
glouton,475,132.09890000000001,166.0
glouton,476,128.8557,164.5
glouton,477,133.9015,165.2
glouton,478,129.92860000000002,165.9
glouton,479,130.2779,165.4
glouton,480,135.226,166.2
glouton,481,138.8887,166.5
glouton,482,146.6858,166.8
glouton,483,138.579,167.8
glouton,484,137.238,167.6
glouton,485,158.5709,166.7
glouton,486,150.6961,167.7
glouton,487,143.1524,167.1
glouton,488,143.5384,169.0
glouton,489,156.81990000000002,169.0
glouton,490,153.628,169.4
glouton,491,147.66770000000002,169.5
glouton,492,151.0521,169.2
glouton,493,150.5302,168.5
glouton,494,142.8505,170.3
glouton,495,142.2282,171.1
glouton,496,148.0659,170.6
glouton,497,142.74079999999998,171.8
glouton,498,155.7131,171.6
glouton,499,159.2422,171.2
glouton,500,151.1327,171.4
glouton,501,137.9581,172.9
glouton,502,149.01330000000002,171.6
glouton,503,141.60639999999998,173.2
glouton,504,151.4656,173.1
glouton,505,157.118,172.7
glouton,506,145.6323,174.3
glouton,507,140.7935,175.4
glouton,508,139.8612,174.6
glouton,509,140.1338,176.3
glouton,510,141.4789,174.1
glouton,511,142.24769999999998,175.0
glouton,512,141.02460000000002,175.0
glouton,513,165.3876,175.2
glouton,514,223.93789999999998,177.2
glouton,515,245.2181,175.7
glouton,516,227.57930000000002,177.4
glouton,517,151.4467,177.2
glouton,518,151.3478,176.2
glouton,519,153.0508,177.9
glouton,520,155.2022,178.7
glouton,521,148.638,179.3
glouton,522,150.9948,178.3
glouton,523,154.89389999999997,178.9
glouton,524,155.45999999999998,178.3
glouton,525,156.7605,179.5
glouton,526,157.7616,179.0
glouton,527,158.7603,179.9
glouton,528,158.7013,179.1
glouton,529,212.7953,181.1
glouton,530,184.902,180.3
glouton,531,156.3942,181.4
glouton,532,155.9362,181.4
glouton,533,159.1828,182.1
glouton,534,160.4638,181.9
glouton,535,165.89569999999998,183.5
glouton,536,166.2614,181.8
glouton,537,163.9507,182.3
glouton,538,166.5251,181.9
glouton,539,167.1909,182.6
glouton,540,161.39960000000002,183.7
glouton,541,167.3872,185.2
glouton,542,175.34279999999998,185.2
glouton,543,168.4185,185.6
glouton,544,173.2234,185.7
glouton,545,258.813,184.7
glouton,546,220.8194,184.3
glouton,547,176.7957,186.6
glouton,548,169.51010000000002,184.7
glouton,549,174.81660000000002,186.6
glouton,550,168.64600000000002,186.4
glouton,551,180.6471,186.5
glouton,552,178.3315,187.4
glouton,553,170.27190000000002,187.8
glouton,554,173.8442,187.6
glouton,555,175.40109999999999,190.4
glouton,556,173.6248,188.4
glouton,557,173.7443,187.9
glouton,558,183.19760000000002,189.2
glouton,559,175.57070000000002,190.5
glouton,560,174.85920000000002,189.3
glouton,561,180.2242,189.7
glouton,562,175.95329999999998,190.9
glouton,563,172.6196,189.1
glouton,564,177.3674,190.7
glouton,565,174.3899,191.0
glouton,566,178.4036,191.9
glouton,567,178.27280000000002,191.6
glouton,568,178.4862,191.3
glouton,569,181.0501,192.6
glouton,570,180.047,192.2
glouton,571,181.6695,193.1
glouton,572,181.8073,192.3
glouton,573,182.7654,193.4
glouton,574,186.208,194.0
glouton,575,181.88629999999998,194.9
glouton,576,181.53140000000002,194.3
glouton,577,183.1904,194.2
glouton,578,183.3053,194.6
glouton,579,185.2244,195.3
glouton,580,189.234,195.8
glouton,581,185.3646,195.0
glouton,582,186.3834,195.6
glouton,583,193.38309999999998,197.4
glouton,584,199.8032,197.2
glouton,585,188.7126,197.6
glouton,586,190.0075,196.9
glouton,587,190.473,197.6
glouton,588,191.35399999999998,199.9
glouton,589,190.4436,197.8
glouton,590,193.0982,197.7
glouton,591,193.5454,199.3
glouton,592,193.4161,199.6
glouton,593,197.0624,199.3
glouton,594,196.6291,199.7
glouton,595,197.481,201.1
glouton,596,214.46359999999999,200.0
glouton,597,197.0799,200.5
glouton,598,200.40550000000002,201.5
glouton,599,199.0866,200.5
glouton,600,200.9912,201.2
glouton,601,201.4445,201.6
glouton,602,200.5598,201.6
glouton,603,201.91910000000001,202.3
glouton,604,204.7877,203.8
glouton,605,206.24009999999998,202.4
glouton,606,203.18099999999998,202.3
glouton,607,203.1294,202.4
glouton,608,206.9134,202.9
glouton,609,206.69389999999999,203.3
glouton,610,206.11460000000002,203.4
glouton,611,213.14079999999998,205.4
glouton,612,207.82110000000003,203.9
glouton,613,208.4794,204.5
glouton,614,208.5781,205.0
glouton,615,210.30900000000003,205.5
glouton,616,213.5636,207.2
glouton,617,212.1757,207.6
glouton,618,212.1634,207.0
glouton,619,215.52730000000003,208.4
glouton,620,215.3186,206.1
glouton,621,213.78519999999997,208.0
glouton,622,215.3747,207.3
glouton,623,218.1926,209.0
glouton,624,217.34990000000002,208.4
glouton,625,222.6268,210.1
glouton,626,219.6773,207.6
glouton,627,223.1428,209.5
glouton,628,224.2333,209.8
glouton,629,222.6538,211.0
glouton,630,219.68009999999998,210.0
glouton,631,224.1239,209.7
glouton,632,221.38719999999998,210.1
glouton,633,221.4786,210.5
glouton,634,224.9293,210.2
glouton,635,225.80790000000002,211.6
glouton,636,227.38940000000002,212.3
glouton,637,226.8536,212.9
glouton,638,227.167,212.7
glouton,639,230.3781,213.5
glouton,640,231.2738,214.4
glouton,641,231.622,213.1
glouton,642,231.3608,213.1
glouton,643,229.8696,213.7
glouton,644,261.2609,213.9
glouton,645,298.2106,214.1
glouton,646,325.6431,215.6
