nb_nodes,seed,algo,time
29,7,branch_bound,3.2744
29,8,branch_bound,1.9312
29,9,branch_bound,6.9835
30,0,branch_bound,3.1619
30,1,branch_bound,5.0561
30,2,branch_bound,6.5905
30,3,branch_bound,2.9466
30,4,branch_bound,3.409
30,5,branch_bound,3.5964
30,6,branch_bound,4.5634
30,7,branch_bound,3.9951
30,8,branch_bound,4.9023
30,9,branch_bound,5.0043
31,0,branch_bound,2.7439
31,1,branch_bound,3.0168
31,2,branch_bound,2.9456
31,3,branch_bound,4.0219
31,4,branch_bound,4.5286
31,5,branch_bound,3.4704
31,6,branch_bound,2.1457
31,7,branch_bound,2.0557
31,8,branch_bound,2.8575
31,9,branch_bound,10.0873
32,0,branch_bound,2.2109
32,1,branch_bound,2.5815
32,2,branch_bound,2.2077
32,3,branch_bound,3.7922
32,4,branch_bound,5.4823
32,5,branch_bound,2.489
32,6,branch_bound,2.8819
32,7,branch_bound,4.462
32,8,branch_bound,5.0093
32,9,branch_bound,9.6517
33,0,branch_bound,5.2072
33,1,branch_bound,2.1709
33,2,branch_bound,2.6513
33,3,branch_bound,4.3918
33,4,branch_bound,7.0632
33,5,branch_bound,4.5
33,6,branch_bound,4.1976
33,7,branch_bound,4.3535
33,8,branch_bound,1.8464
33,9,branch_bound,16.0734
34,0,branch_bound,2.8577
34,1,branch_bound,6.3127
34,2,branch_bound,2.8375
34,3,branch_bound,24.7663
34,4,branch_bound,9.9098
34,5,branch_bound,4.6201
34,6,branch_bound,7.2201
34,7,branch_bound,2.9357
34,8,branch_bound,10.92
34,9,branch_bound,15.545
35,0,branch_bound,11.519
35,1,branch_bound,2.9635
35,2,branch_bound,3.3676
35,3,branch_bound,3.0921
35,4,branch_bound,3.7203
35,5,branch_bound,5.9655
35,6,branch_bound,6.7516
35,7,branch_bound,2.3072
35,8,branch_bound,4.7636
35,9,branch_bound,15.4272
36,0,branch_bound,34.8359
36,1,branch_bound,5.2552
36,2,branch_bound,18.2171
36,3,branch_bound,2.8707
36,4,branch_bound,7.6758
36,5,branch_bound,27.9701
36,6,branch_bound,5.3469
36,7,branch_bound,6.705
36,8,branch_bound,16.5308
36,9,branch_bound,8.1274
37,0,branch_bound,32.5018
37,1,branch_bound,5.1191
37,2,branch_bound,13.5847
37,3,branch_bound,13.8099
37,4,branch_bound,10.4771
37,5,branch_bound,93.7963
37,6,branch_bound,3.091
37,7,branch_bound,21.9151
37,8,branch_bound,8.1685
37,9,branch_bound,8.9627
38,0,branch_bound,6.3492
38,1,branch_bound,12.787
38,2,branch_bound,9.364
38,3,branch_bound,10.1369
38,4,branch_bound,12.3068
38,5,branch_bound,38.9792
38,6,branch_bound,9.1372
