nb_nodes,seed,algo,time
83,4,glouton,3.3128
83,5,glouton,3.5744
83,6,glouton,3.2944
83,7,glouton,3.2936
83,8,glouton,3.3209
83,9,glouton,3.1885
84,0,glouton,3.2879
84,1,glouton,3.428
84,2,glouton,3.7592
84,3,glouton,3.5168
84,4,glouton,3.2417
84,5,glouton,3.4614
84,6,glouton,3.4594
84,7,glouton,3.4692
84,8,glouton,3.6663
84,9,glouton,3.5101
85,0,glouton,3.7256
85,1,glouton,3.7191
85,2,glouton,3.7478
85,3,glouton,3.7457
85,4,glouton,3.5369
85,5,glouton,3.7974
85,6,glouton,3.437
85,7,glouton,3.5679
85,8,glouton,3.5717
85,9,glouton,3.2962
86,0,glouton,4.2811
86,1,glouton,3.7741
86,2,glouton,3.5717
86,3,glouton,4.053
86,4,glouton,4.0751
86,5,glouton,3.6957
86,6,glouton,3.6392
86,7,glouton,3.7358
86,8,glouton,3.5254
86,9,glouton,4.0018
87,0,glouton,4.3401
87,1,glouton,4.1505
87,2,glouton,3.7583
87,3,glouton,3.6505
87,4,glouton,3.5767
87,5,glouton,3.7191
87,6,glouton,3.6938
87,7,glouton,3.6664
87,8,glouton,3.7428
87,9,glouton,3.5029
88,0,glouton,3.6016
88,1,glouton,3.9484
88,2,glouton,3.699
88,3,glouton,3.6871
88,4,glouton,3.872
88,5,glouton,3.7782
88,6,glouton,3.5966
88,7,glouton,4.0619
88,8,glouton,3.7209
88,9,glouton,3.8086
89,0,glouton,3.9338
89,1,glouton,3.8594
89,2,glouton,3.6802
89,3,glouton,5.2069
89,4,glouton,4.4441
89,5,glouton,4.0772
89,6,glouton,4.1227
89,7,glouton,4.3395
89,8,glouton,3.999
89,9,glouton,3.8827
90,0,glouton,4.2105
90,1,glouton,3.9521
90,2,glouton,4.1681
90,3,glouton,4.1351
90,4,glouton,4.1761
90,5,glouton,3.9646
90,6,glouton,3.7479
90,7,glouton,4.2755
90,8,glouton,4.1037
90,9,glouton,3.7765
91,0,glouton,4.0186
91,1,glouton,3.9877
91,2,glouton,4.2624
91,3,glouton,4.2717
91,4,glouton,4.1001
91,5,glouton,4.3966
91,6,glouton,4.1612
91,7,glouton,4.3668
91,8,glouton,4.5103
91,9,glouton,4.1641
92,0,glouton,4.2833
92,1,glouton,4.3279
92,2,glouton,4.1076
92,3,glouton,4.4028
92,4,glouton,4.3692
92,5,glouton,4.2184
92,6,glouton,4.1261
92,7,glouton,4.2676
92,8,glouton,4.1742
92,9,glouton,3.8932
93,0,glouton,4.2275
93,1,glouton,4.2429
93,2,glouton,4.198
93,3,glouton,4.2565
93,4,glouton,4.1132
93,5,glouton,4.4672
93,6,glouton,4.7335
93,7,glouton,4.5966
93,8,glouton,4.4887
93,9,glouton,4.6645
94,0,glouton,5.0266
94,1,glouton,4.457
94,2,glouton,4.2281
94,3,glouton,4.3534
94,4,glouton,4.5201
94,5,glouton,4.1318
94,6,glouton,4.583
94,7,glouton,4.3088
94,8,glouton,4.2529
94,9,glouton,4.2824
95,0,glouton,4.3754
95,1,glouton,5.8982
95,2,glouton,4.3015
95,3,glouton,4.8835
95,4,glouton,4.5689
95,5,glouton,4.4785
95,6,glouton,4.4654
95,7,glouton,4.4304
95,8,glouton,4.9145
95,9,glouton,4.962
96,0,glouton,4.5373
96,1,glouton,4.6293
96,2,glouton,4.616
96,3,glouton,4.5973
96,4,glouton,4.4762
96,5,glouton,4.5234
96,6,glouton,4.6734
96,7,glouton,4.8367
96,8,glouton,4.8176
96,9,glouton,4.5553
97,0,glouton,4.6035
97,1,glouton,4.4886
97,2,glouton,4.4477
97,3,glouton,4.7409
97,4,glouton,4.762
97,5,glouton,4.6525
97,6,glouton,4.5487
97,7,glouton,4.7554
97,8,glouton,4.5847
97,9,glouton,4.7793
98,0,glouton,5.2757
98,1,glouton,4.7808
98,2,glouton,4.6472
98,3,glouton,4.8781
98,4,glouton,4.7864
98,5,glouton,4.6019
98,6,glouton,4.7087
98,7,glouton,4.6737
98,8,glouton,4.6584
98,9,glouton,4.5556
99,0,glouton,4.6036
99,1,glouton,4.6922
99,2,glouton,4.878
99,3,glouton,5.0804
99,4,glouton,4.7396
99,5,glouton,4.7114
99,6,glouton,4.6953
99,7,glouton,4.7847
99,8,glouton,5.0061
99,9,glouton,4.9575
100,0,glouton,5.0939
100,1,glouton,5.4476
100,2,glouton,4.8564
100,3,glouton,4.8289
100,4,glouton,4.6972
100,5,glouton,5.0261
