nb_nodes,seed,algo,time,ans
30,4,glouton,0.4553,15
30,5,glouton,0.4736,16
30,6,glouton,0.5331,18
30,7,glouton,0.5716,18
30,8,glouton,0.5227,17
30,9,glouton,0.7819,16
31,0,glouton,0.5653,18
31,1,glouton,0.5322,17
31,2,glouton,0.7264,17
31,3,glouton,0.5263,17
31,4,glouton,0.4968,16
31,5,glouton,0.5164,16
31,6,glouton,0.562,17
31,7,glouton,0.557,17
31,8,glouton,0.5407,18
31,9,glouton,0.6762,16
32,0,glouton,0.5952,18
32,1,glouton,0.5364,15
32,2,glouton,0.5497,16
32,3,glouton,0.5485,17
32,4,glouton,0.5117,16
32,5,glouton,0.5486,17
32,6,glouton,0.5326,17
32,7,glouton,0.6458,20
32,8,glouton,0.5983,18
32,9,glouton,0.5635,17
33,0,glouton,0.6477,19
33,1,glouton,0.5732,17
33,2,glouton,0.5597,17
33,3,glouton,0.8692,18
33,4,glouton,0.5769,18
33,5,glouton,0.5857,17
33,6,glouton,0.5714,17
33,7,glouton,0.6428,18
33,8,glouton,0.6017,17
33,9,glouton,0.5762,16
34,0,glouton,0.7269,18
34,1,glouton,0.6545,18
34,2,glouton,0.5975,17
34,3,glouton,0.685,20
34,4,glouton,0.6094,17
34,5,glouton,0.5802,16
34,6,glouton,0.6466,18
34,7,glouton,0.664,18
34,8,glouton,0.6092,17
34,9,glouton,0.6324,18
35,0,glouton,0.7031,19
35,1,glouton,0.7147,19
35,2,glouton,0.6664,17
35,3,glouton,0.6911,18
35,4,glouton,0.7014,18
35,5,glouton,0.6774,18
35,6,glouton,0.6683,17
35,7,glouton,0.7012,19
35,8,glouton,0.6547,17
35,9,glouton,0.6493,18
36,0,glouton,0.7273,19
36,1,glouton,0.751,20
36,2,glouton,0.6927,18
36,3,glouton,0.7017,18
36,4,glouton,0.7278,19
36,5,glouton,0.6713,17
36,6,glouton,0.6995,18
36,7,glouton,0.7519,20
36,8,glouton,0.8027,19
36,9,glouton,0.731,18
37,0,glouton,0.7781,20
37,1,glouton,0.7892,21
37,2,glouton,0.762,19
37,3,glouton,0.7296,18
37,4,glouton,0.7362,19
37,5,glouton,0.7699,19
37,6,glouton,0.7363,18
37,7,glouton,0.7429,19
37,8,glouton,0.7748,19
37,9,glouton,0.7873,20
38,0,glouton,0.8141,20
38,1,glouton,0.8273,22
38,2,glouton,0.7672,19
38,3,glouton,0.8254,21
38,4,glouton,0.8074,20
38,5,glouton,0.7483,19
38,6,glouton,0.781,20
38,7,glouton,0.8048,20
38,8,glouton,0.8267,19
